"filename", "language", "JavaScript", "JSON", "Vue", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\transfer.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\tree.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\assets\theme\upload.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Home\blog\UC-blog\blog-app\src\components\BaseHeader.vue", "Vue", 0, 0, 165, 0, 0, 0, 15, 11, 191
"d:\Home\blog\UC-blog\blog-app\src\components\article\ArticleItem.vue", "Vue", 0, 0, 87, 0, 0, 0, 1, 17, 105
"d:\Home\blog\UC-blog\blog-app\src\components\card\CardArchive.vue", "Vue", 0, 0, 49, 0, 0, 0, 0, 11, 60
"d:\Home\blog\UC-blog\blog-app\src\components\card\CardArticle.vue", "Vue", 0, 0, 59, 0, 0, 0, 0, 8, 67
"d:\Home\blog\UC-blog\blog-app\src\components\card\CardMe.vue", "Vue", 0, 0, 52, 0, 0, 0, 3, 5, 60
"d:\Home\blog\UC-blog\blog-app\src\components\card\CardTag.vue", "Vue", 0, 0, 63, 0, 0, 0, 0, 8, 71
"d:\Home\blog\UC-blog\blog-app\src\components\comment\CommentItem.vue", "Vue", 0, 0, 296, 0, 0, 0, 4, 18, 318
"d:\Home\blog\UC-blog\blog-app\src\components\gotop\GoTop.vue", "Vue", 0, 0, 75, 0, 0, 0, 3, 4, 82
"d:\Home\blog\UC-blog\blog-app\src\components\markdown\MarkdownEditor.vue", "Vue", 0, 0, 52, 0, 0, 0, 1, 11, 64
"d:\Home\blog\UC-blog\blog-app\src\components\scrollpage\index.vue", "Vue", 0, 0, 68, 0, 0, 0, 5, 10, 83
"d:\Home\blog\UC-blog\blog-app\src\main.js", "JavaScript", 26, 0, 0, 0, 0, 0, 6, 8, 40
"d:\Home\blog\UC-blog\blog-app\src\request\index.js", "JavaScript", 54, 0, 0, 0, 0, 0, 9, 14, 77
"d:\Home\blog\UC-blog\blog-app\src\request\token.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Home\blog\UC-blog\blog-app\src\router\index.js", "JavaScript", 100, 0, 0, 0, 0, 0, 12, 15, 127
"d:\Home\blog\UC-blog\blog-app\src\store\index.js", "JavaScript", 118, 0, 0, 0, 0, 0, 6, 7, 131
"d:\Home\blog\UC-blog\blog-app\src\store\mutation-types.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Home\blog\UC-blog\blog-app\src\utils\time.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Home\blog\UC-blog\blog-app\src\views\All.vue", "Vue", 0, 0, 159, 0, 0, 0, 5, 14, 178
"d:\Home\blog\UC-blog\blog-app\src\views\Index.vue", "Vue", 0, 0, 156, 0, 0, 0, 4, 9, 169
"d:\Home\blog\UC-blog\blog-app\src\views\Login.vue", "Vue", 0, 0, 159, 0, 0, 0, 0, 13, 172
"d:\Home\blog\UC-blog\blog-app\src\views\MessageBoard.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 9, 49
"d:\Home\blog\UC-blog\blog-app\src\views\Register.vue", "Vue", 0, 0, 164, 0, 0, 0, 1, 12, 177
